"sex";"age_years";"KinshipR";"MutualismR";"ExchangeR";"HawkR";"DoveR";"DivisionR";"PossessionR";"KinshipJ";"MutualismJ";"ExchangeJ";"HawkJ";"DoveJ";"DivisionJ";"PossessionJ"
"Male";34;57.6666666666667;62.3333333333333;68.3333333333333;69.3333333333333;34;56.3333333333333;67.3333333333333;65.6666666666667;83.6666666666667;78.6666666666667;84.6666666666667;45.6666666666667;89.6666666666667;26
"Female";30;75.6666666666667;57.6666666666667;52;53;47.6666666666667;54;70;85.6666666666667;53.3333333333333;87.6666666666667;50;65;67.3333333333333;56
"Female";62;90;67;75.6666666666667;83.6666666666667;69.3333333333333;63.3333333333333;78.3333333333333;83.6666666666667;52;69.3333333333333;75.6666666666667;60;75.6666666666667;51.6666666666667
"Male";52;78;53.3333333333333;66;64.6666666666667;53;72.6666666666667;72.3333333333333;41.6666666666667;72.6666666666667;80;41;58.6666666666667;72.6666666666667;64.3333333333333
"Male";59;67.3333333333333;56.3333333333333;78;74;49;65;68.3333333333333;79.6666666666667;62;65.6666666666667;67.6666666666667;20.3333333333333;68.3333333333333;39.3333333333333
"Female";34;78.3333333333333;77;82;76.6666666666667;25;52.6666666666667;56.6666666666667;72;91.6666666666667;71.3333333333333;74.3333333333333;32;65.6666666666667;57.3333333333333
"Male";44;56;58.3333333333333;74.6666666666667;65;58.6666666666667;65;67;75;85.3333333333333;82.6666666666667;89.3333333333333;69;79;66.6666666666667
"Female";51;69.6666666666667;71;68.6666666666667;61;47.6666666666667;81;80.6666666666667;84;88.3333333333333;85.6666666666667;73.3333333333333;52.6666666666667;75;32
"Male";45;25.6666666666667;28.6666666666667;45.6666666666667;23;25.3333333333333;16.3333333333333;20.3333333333333;62.3333333333333;53.6666666666667;77.3333333333333;47.3333333333333;22.3333333333333;66;28.6666666666667
"Female";49;82.3333333333333;75;63.3333333333333;43.6666666666667;22.6666666666667;74;85;60;60.3333333333333;91.3333333333333;46;49.6666666666667;75.6666666666667;47
"Male";54;52.3333333333333;57;67.3333333333333;67;50.3333333333333;62.6666666666667;44.6666666666667;80;76.3333333333333;81.6666666666667;81;75.6666666666667;77;40
"Male";47;72;80;86.3333333333333;76.3333333333333;71.3333333333333;72.3333333333333;91.6666666666667;66.3333333333333;78;79.6666666666667;63.6666666666667;51.6666666666667;66;32.6666666666667
"Male";51;89.3333333333333;87.6666666666667;84;82.6666666666667;89.3333333333333;86;93;84.3333333333333;63.6666666666667;89.3333333333333;68.6666666666667;82.3333333333333;89.3333333333333;23
"Male";41;63.6666666666667;57;61;51.6666666666667;62.3333333333333;39;57.6666666666667;85.6666666666667;76;88.3333333333333;71;54.6666666666667;88.3333333333333;44
"Male";49;68;66.3333333333333;58.6666666666667;64.3333333333333;61.3333333333333;36.3333333333333;71;54;66.3333333333333;59.3333333333333;51.3333333333333;42;44.3333333333333;51
"Female";58;70.6666666666667;71.3333333333333;36.6666666666667;32;37;48.6666666666667;61;56.6666666666667;71.3333333333333;82;45.6666666666667;61.3333333333333;44.6666666666667;33.3333333333333
"Female";37;38;26.6666666666667;23;29;17;29.3333333333333;26.3333333333333;83;84;72.3333333333333;35.6666666666667;53.3333333333333;68.3333333333333;29
"Male";52;44.6666666666667;55.3333333333333;54;44.3333333333333;20.6666666666667;32;42.6666666666667;31.6666666666667;68;63.3333333333333;19.6666666666667;48.3333333333333;69.3333333333333;34.3333333333333
"Male";49;39;34.6666666666667;31;28.3333333333333;21.6666666666667;26;11;52;44.3333333333333;49.6666666666667;46.6666666666667;49.6666666666667;36.6666666666667;50.6666666666667
"Female";54;40.3333333333333;52.3333333333333;76;25.3333333333333;43.3333333333333;40;84.6666666666667;74;70.6666666666667;80;64;56.6666666666667;80.3333333333333;59
"Female";47;90;86;74;75;60.6666666666667;65.3333333333333;81.6666666666667;61;76.3333333333333;82.3333333333333;75;57.3333333333333;93.3333333333333;50
